PG(14:0/0:0)[U]
PG(14:0/0:0)
Lucidenolactone
Lucidenic acid F
Brevione L
3Alpha,7Alpha,12Alpha-trihydroxy-5Beta-cholestan-26-oic acid
3beta,7a,12a-Trihydroxy-5a-cholestan-26-oic acid
3a,12a,22-Trihydroxy-5beta-cholestan-26-oic acid
3a,7a,24-Trihydroxy-5beta-cholestan-26-oic acid
3beta,7a,12a-Trihydroxy-5beta-cholestan-26-oic acid
3a,7a,12a-Trihydroxy-5a-cholestan-26-oic acid
5-Cholestene-3beta,7a,12a,24,25-pentol
5-Cholestene-3beta,7a,12a,25,26-pentol
24:2(5Z,9Z)
(Z)-5-Dodecenyl (Z)-5-dodecenoate
5,9-tetracosadienoic acid
C24:2
15Z,18Z-Tetracosadienoic acid
3alpha,7alpha,12alpha-Trihydroxy-5beta-23E-cholestan-26-oic acid
(24R)-1alpha,24,25-trihydroxy-22-oxavitamin D3
(24S)-1alpha,24,25-trihydroxy-22-oxavitamin D3
(25R)-1alpha,25,26-trihydroxy-22-oxavitamin D3
(25S)-1alpha,25,26-trihydroxy-22-oxavitamin D3
Nb-Palmitoyltryptamine
2alpha-Methyl-17beta-[(tetrahydro-2H-pyran-2-yl)oxy]-5alpha-androstan-3-one
1alpha-hydroxy-21-nor-20-oxavitamin D3
1alpha,25-dihydroxy-23,24-dinorvitamin D3
1alpha,25-dihydroxy-26,27-dinorvitamin D3
(+)-Desoxyscalarin
Methyl 2-(10-heptadecenyl)-6-hydroxybenzoate
Asperunguisin A
Asperunguisin C
Aspergilloxide
4,4-difluoro-1alpha,25-dihydroxyvitamin D3
(5Z)-4,4-difluoro-1alpha,25-dihydroxyvitamin D3
23,23-difluoro-1alpha,25-dihydroxyvitamin D3
24,24-difluoro-1alpha,25-dihydroxyvitamin D3
3a,12a,25-Trihydroxy-5beta-cholestan-7-one
3beta,12a-Dihydroxy-5beta-cholestan-26-oic acid
3a,12a-Dihydroxy-5beta-cholestan-26-oic acid
3beta,7beta-Dihydroxy-5beta-cholestan-26-oic acid
3a,7beta-Dihydroxy-5beta-cholestan-26-oic acid
3a,7a-Dihydroxy-5beta-cholestan-26-oic acid
5-Cholestene-3beta,7a,12a,24-tetrol
5-Cholestene-3beta,7a,12a,25-tetrol
5-Cholestene-3beta,7a,12a,26-tetrol
5a-Cholest-25-ene-3a,7a,12a,26-tetrol
3a,7a,12a-Trihydroxy-5beta-cholestan-23-one
5beta-Cholest-25-ene-3a,7a,12a,23-tetrol
3a,7a,12a-Trihydroxy-5beta-cholestan-24-one
5beta-Cholest-25-ene-3a,7a,12a,24-tetrol
7a,12a,26-Trihydroxy-5beta-cholestan-3-one
7a,12a,25-Trihydroxy-5beta-cholestan-3-one
5beta-Cholest-25-ene-3a,7a,12a,26-tetrol
3a,7a-Dihydroxy-5a-cholestan-26-oic acid
3beta,7a-Dihydroxy-5a-cholestan-26-oic acid
Dihydroxycholestanoic acid
3a,7a-Dihydroxycoprostanic acid
3alpha,7alpha-Dihydroxy-5beta-cholestanate
3alpha,7alpha,24(S)-trihydroxy-5beta-cholestan-27-al
3alpha,7alpha-Dihydroxy-5beta-cholestan-26-oic acid
3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-al
7alpha,12alpha,24-trihydroxy-5beta-cholestan-3-one
1alpha,25-dihydroxy-2alpha-hydroxymethyl-19-norvitamin D3
1alpha,25-dihydroxy-2beta-hydroxymethyl-19-norvitamin D3
1alpha,25-dihydroxy-2alpha-hydroxymethyl-19-nor-20-epivitamin D3
1alpha,25-dihydroxy-2beta-hydroxymethyl-19-nor-20-epivitamin D3
(10S)-1alpha,19,25-trihydroxy-10,19-dihydrovitamin D3
(10R)-1alpha,19,25-trihydroxy-10,19-dihydrovitamin D3
3alpha,12alpha,25-Trihydroxy-5beta-cholestan-7-one
3beta,12alpha-Dihydroxy-5beta-cholestan-26-oic acid
3alpha,12alpha-Dihydroxy-5beta-cholestan-26-oic acid
3beta,7beta-Dihydroxy-5beta-cholestan-26-oic acid
3alpha,7beta-Dihydroxy-5beta-cholestan-26-oic acid
5-Cholestene-3beta,7alpha,12alpha,24-tetrol
5-Cholestene-3beta,7alpha,12alpha,25-tetrol
5-Cholestene-3beta,7alpha,12alpha,26-tetrol
7alpha,25,27-trihydroxycholesterol
5alpha-Cholest-25-ene-3alpha,7alpha,12alpha,26-tetrol
3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-23-one
cholest-7-en-3beta,5alpha,6alpha,9alpha-tetrol
5beta-Cholest-25-ene-3alpha,7alpha,12alpha,23-tetrol
Cholest-7-en-3beta,5alpha,6beta,9alpha-tetrol
3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-24-one
5beta-Cholest-25-ene-3alpha,7alpha,12alpha,24-tetrol
7alpha,12alpha,26-Trihydroxy-5beta-cholestan-3-one
7alpha,12alpha,25-Trihydroxy-5beta-cholestan-3-one
5beta-Cholest-25-ene-3alpha,7alpha,12alpha,26-tetrol
3alpha,7alpha-Dihydroxy-5alpha-cholestan-26-oic acid
3beta,7alpha-Dihydroxy-5alpha-cholestan-26-oic acid
(25R)-3alpha,7alpha-dihydroxy-5beta-cholestan-26-oic acid
3alpha,7alpha,24-trihydroxy-5beta-cholestan-26-al
(25R)-3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-al
1alpha,25-dihydroxy-3-deoxy-19-norvitamin D3
1beta,25-dihydroxy-3-deoxy-19-norvitamin D3
25-dihydroxy-19-nor-3-epivitamin D3
25-dihydroxy-19-norvitamin D3
26:4(11Z,14Z,17Z,20Z)
7Z,13Z,16Z,19Z-Docosatetraenyl isobutyrate
3-Hydroxy-1-phenyl-1-eicosanone
C26:4
5b-Cholestane-3a,7a,12a,23S,25-pentol
Cholestane-3,7,12,24,25-pentol
5b-Cholestane-3a,7a,12a,24,25-pentol
5beta-Cholestane-3alpha,7alpha,12alpha,25,26-pentol
5a-Cholestane-3a,7a,12a,23,25-pentol
5beta-Cholestane-3alpha,7alpha,12alpha,23,25-pentol
5beta-cholestan-3alpha,7alpha,12alpha,24(S),27-pentol
5b-Cholestane-3a,7a,12a,23R,25-pentol
Cholestane-3alpha,7alpha,12alpha,24R,25-pentol
alpha-Trichechol
5beta-Cholestane-2beta,3alpha,7alpha,12alpha,26-pentol
Latimerol
5alpha-Cholestane-3beta,7alpha,12alpha,25,26-pentol
Bufol
Chimaerol
5beta-Cholestane-3alpha,7alpha,12alpha,24,26-pentol
Cyprinol
beta-Trichechol
omega-Trichechol
5beta-Cholestane-3alpha,7alpha,12alpha,22,25-pentol
5beta-Cholestane-3alpha,7alpha,12alpha,24,25-pentol
5beta-Cholestane-3alpha,7alpha,12alpha,26,27-pentol
5a-Cholestane-3a,7a,12a,23,25-pentol
5b-Cholestane-3a,7a,12a,23S,25-pentol
5alpha-Cholestane-3alpha,7alpha,12alpha,23,25-pentol
5beta-Cholestane-3alpha,7alpha,12alpha,22,26-pentol
5beta-Cholestane-3alpha,7alpha,12alpha,23,26-pentol
5alpha-cholestan-3beta,6alpha,8beta,15alpha,24S-triol
(25S)-5alpha-cholestan-3beta,6beta,15alpha,16beta,26-pentol
Cholestane-3,7,12,23,25-pentol
5a-Cholestane-3a,7a,12a,23,25-pentol
5b-Cholestane-3a,7a,12a,24,25-pentol
5beta-Cholestane-3alpha,7alpha,12alpha,24,25-pentol
5alpha-Cholestane-3alpha,7alpha,12alpha,23,25-pentol
5beta-Cholestane-3a,6beta,7a,25,26-pentol
5beta-Cholestane-2beta,3a,7a,12a,26-pentol
5a-Cholestane-3beta,7a,12a,26,27-pentol
5a-Cholestane-3beta,7a,12a,25,26-pentol
5a-Cholestane-3a,7a,12a,25,26-pentol
5beta-Cholestane-3a,7a,12a,25,26-pentol
5a-Cholestane-3a,7a,12a,24,26-pentol
5beta-Cholestane-3a,7a,12a,24,26-pentol
5beta-Cholestane-3a,6beta,7beta,25,26-pentol
5beta-Cholestane-3a,6a,7beta,25,26-pentol
5beta-Cholestane-3a,7a,12a,22,25-pentol
5beta-Cholestane-3a,7a,12a,23,25-pentol
5beta-Cholestane-3a,7a,12a,24,25-pentol
5beta-Cholestane-3a,7a,12a,26,27-pentol
5beta-Cholestane-3a,7a,12a,22,26-pentol
5beta-Cholestane-3a,7a,12a,23,26-pentol
4-Methyl-3-heptyl palmitoleate
11-Docosenyl acetate
trans-selacholeic acid
24-Tetracosanolide
7,9-Tetracosanedione
6,8-Tetracosanedione
(2E)-tetracos-2-enoic acid
10,12-Tetracosanedione
Nervonic acid
5,7-Tetracosanedione
4,6-Tetracosanedione
C24:1
10,13-Dimethyl-11-docosyne-10,13-diol
11Z-tetracosenoic acid
19Z-Tetracosenoic acid
13-Tetracosenoic acid
17Z-Tetracosenoic acid
5beta-Cholestane-3alpha,7alpha,24,26-tetrol
5a-Cholestane-3a,7a,12a,25-tetrol
5beta-Cholestane-3alpha,7alpha,12alpha,26-tetrol
5beta-Cholestane-3alpha,7alpha,12alpha,23-tetrol
Cholestane-3,7,12,25-tetrol
27-Deoxy-5alpha-cyprinol
5b-Cholestane-3a,7a,12a,25-tetrol
5b-Cholestane-3a,7a,12a,23-Tetrol
5-b-Cholestane-3a-7-tetraol
5a-Cholestane-3a,7a,16a,26-tetrol
5a-Cholestane-3a,7a,12a,26-tetrol
5a-Cholestane-3beta,7a,16a,26-tetrol
5a-Cholestane-3a,7a,12a,24-tetrol
5beta-Cholestane-3a,7a,24,26-tetrol
5beta-Cholestane-3a,7a,25,26-tetrol
5beta-Cholestane-3a,7a,26,27-tetrol
5beta-Cholestane-3a,6beta,7a,26-tetrol
5a-Cholestane-3a,7a,12a,25-tetrol
5beta-Cholestane-3a,7a,12a,23-tetrol
5beta-Cholestane-3a,7a,12a,24-tetrol
5a-Cholestane-3a,7a,26,27-tetrol
5beta-Cholestane-3a,7a,12a,22-tetrol
5beta-Cholestane-3a,7beta,12a,25-tetrol
5beta-Cholestane-3beta,7a,12a,25-tetrol
5beta-Cholestane-3a,7a,24,25-tetrol
5alpha-Cholestane-3alpha,7alpha,16alpha,26-tetrol
5alpha-Cholestane-3alpha,7alpha,12alpha,26-tetrol
Myxinol
5alpha-Cholestane-3alpha,7alpha,12alpha,24-tetrol
5beta-Cholestane-3alpha,7alpha,25,26-tetrol
5beta-Cholestane-3alpha,7alpha,26,27-tetrol
5beta-Cholestane-3alpha,6beta,7alpha,26-tetrol
5alpha-Cholestane-3alpha,7alpha,12alpha,25-tetrol
5beta-Cholestane-3alpha,7alpha,12alpha,24-tetrol
5beta-Cholestane-3alpha,7alpha,12alpha,25-tetrol
5alpha-Cholestane-3alpha,7alpha,26,27-tetrol
5beta-Cholestane-3alpha,7alpha,12alpha,22-tetrol
5beta-Cholestane-3alpha,7beta,12alpha,25-tetrol
5beta-Cholestane-3beta,7alpha,12alpha,25-tetrol
5beta-Cholestane-3alpha,7alpha,24,25-tetrol
(25S)-5beta-cholestane-3alpha,7alpha,12alpha,26-tetrol
(25R)-5beta-cholestane-3alpha,7alpha,12alpha,26-tetrol
Cycloprotobuxine C
26:3(5Z,9Z,19E)
(Z,Z,Z)-11,14,17-Eicosatrienyl 4-methylvalerate
5,9,17-hexacosatrienoic acid
5,9,19-hexacosatrienoic acid
5Z,9Z,17Z-hexacosatrienoic acid
5Z,9Z,19Z-hexacosatrienoic acid
C26:3
5Z,9Z,21Z-hexacosatrienoic acid
5,9,17-hexacosatrienoic acid
5,9,19-hexacosatrienoic acid
5Z,9Z,17Z-hexacosatrienoic acid
5Z,9Z,19Z-hexacosatrienoic acid
4-Methyl-3-heptyl palmitate
Docosyl acetate
Eicosyl isobutyrate
eicosyl butyrate
octadecyl hexanoate
hexyl octadecanoate
ethyl docosenyl
2,4-dimethyl-docosanoic acid
3,15-dimethyl-docosanoic acid
21-methyl-tricosanoic acid
Lauryl laurate
Mycosanoic acid (C24)
22-methyl-tricosanoic acid
Mycocerosic acid (C24)
20-Tetracosene-1,18-diol
4-Hydroxy-6-tetracosanone
C24:0
Lignoceric acid
5-Hydroxy-7-tetracosanone
Aspterpenacid A
(R)-4-((3S,5R,8R,9S,10S,13R,14S,17R)-3-hydroxy-4,4,10,13,14-pentamethyl-7,11-dioxohexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid
3-Dehydro-2-deoxyecdysone
12-Ketoporrigenin
Taccagenin
Cepagenin
Leontogenin
24-Oxo-1alpha,23,25-trihydroxyvitamin D3
Spirotaccagenin
Neoporrigenin B
Protometagenin
Karatavegenin C
(23S,25R)-1alpha,25-dihydroxyvitamin D3 26,23-lactol
(23R)-1alpha,23,25-trihydroxy-24-oxovitamin D3
(23S)-1alpha,23,25-trihydroxy-24-oxovitamin D3
Pinnasterol
7alpha,12alpha-dihydroxy-3-oxocholest-4-en-27-oic acid
Dhea enanthate
4-dhea enanthate
17beta-Hydroxy-5alpha-androstan-3-one cyclohexanecarboxylate
Ophiobolin Y
(17E)-1alpha,25-dihydroxy-17,20-didehydro-21-norvitamin D3
(17Z)-1alpha,25-dihydroxy-17,20-didehydro-21-norvitamin D3
19-Nor-14,20-bisepi-23-yne-1,25 dihydroxyvitamin D3
19-Nor-14-epi-23-yne-1,25 dihydroxyvitamin D3
Ximaosteroid B
Testosterone enanthate
3a,6a,7a,12a-Tetrahydroxy-5beta-cholest-24-en-26-oic acid
3-Epiecdysone
Alliogenin
3alpha,7alpha,12alpha,26-Tetrahydroxy-5beta-23E-cholestan-27-oic acid
22-iso-ecdysone
Neoallilogenin
Convallagenin  B
ponasterone A
Ecdysone
3alpha,6alpha,7alpha,12alpha-Tetrahydroxy-5beta-cholest-24-en-26-oic acid
5beta-Cholane-3a,6a,24-triol
5beta-Cholane-3a,7a,12a-triol
5beta-Cholane-3a,7a,24-triol
5beta-Cholane-3a,7beta,24-triol
5beta-Cholane-3a,12a,24-triol
C-9,11,21-Trisnor-17-methyl-1alpha,25-dihydroxyvitamin D3
5beta-Cholane-3alpha,6alpha,24-triol
5beta-Cholane-3alpha,7alpha,12alpha-triol
5beta-Cholane-3alpha,7alpha,24-triol
5beta-Cholane-3alpha,7beta,24-triol
5beta-Cholane-3alpha,12alpha,24-triol
3,4-Dimethyl-5-propyl-2-furanpentadecanoic acid
3,4-Dimethyl-5-pentyl-2-furantridecanoic acid
Porrigenin A
Asperagenin
Porrigenin A
Digitogenin
3alpha,7alpha,12alpha-trihydroxy-5alpha-23E-cholesten-26-oic acid
Agigenin
3alpha,7alpha,12alpha-Trihydroxy-5beta-24Z-cholesten-26-oic acid
Paniculogenin
(24R)-6,19-epidioxy-1alpha,24-dihydroxy-6,19-dihydrovitamin D3
Neoagigenin
(6R)-6,19-epidioxy-1alpha,25-dihydroxy-6,19-dihydrovitamin D3
(23S,25R)-1alpha,23,25,26-tetrahydroxyvitamin D3
Tokorogenin
Epimetagenin
Metagenin
Convallagenin  A
Neotokorogenin
Hispigenin
Solaspigenin
Neosolaspigenin
2-deoxyecdysone
25-deoxyecdysone
1alpha,23R,25S,26-Tetrahydroxyvitamin D3
7beta,12alpha-Dihydroxy-3-oxo-5beta-cholestan-26-oic acid
7alpha,12alpha-Dihydroxy-3-oxo-5beta-cholestan-26-oic acid
7alpha,12alpha-Dihydroxy-3-oxo-5alpha-cholestan-26-oic acid
3alpha,12alpha-Dihydroxy-7-oxo-5beta-cholestan-26-oic acid
3alpha,7alpha,12alpha-Trihydroxy-5beta-24E-cholesten-26-oic acid
3alpha,7alpha,12alpha-Trihydroxy-5beta-cholest-23-en-26-oic acid
3alpha,7alpha-Dihydroxy-12-oxo-5alpha-cholestan-26-oic acid
7beta,12a-Dihydroxy-3-oxo-5beta-cholestan-26-oic acid
7a,12a-Dihydroxy-3-oxo-5beta-cholestan-26-oic acid
7a,12a-Dihydroxy-3-oxo-5a-cholestan-26-oic acid
3a,12a-Dihydroxy-7-oxo-5beta-cholestan-26-oic acid
3a,7a,12a-Trihydroxy-5beta-cholest-24-en-26-oic acid
3a,7a,12a-Trihydroxy-5beta-cholest-23-en-26-oic acid
3a,7a,12a-Trihydroxy-5a-cholest-23-en-26-oic acid
3a,7a-Dihydroxy-12-oxo-5a-cholestan-26-oic acid
3alpha,7alpha,12alpha-Trihydroxy-5alpha-cholest-23-en-26-oic acid
Androsterone Enanthate
27-nor-22R-hydroxy-5alpha-cholestan-3,6-dione
1alpha-hydroxy-22-oxavitamin D3
25-hydroxy-23-oxavitamin D3
1alpha,25-dihydroxy-24-norvitamin D3
1alpha,25-dihydroxy-19-norprevitamin D3
1alpha,25-dihydroxy-21-norvitamin D3
22-ethyl-1alpha,22-dihydroxy-25,26,27-trinorvitamin D3
Oryzarol
2-(5-((3Z,13Z)-eicosa-3,13-dien-1-yl)furan-2-yl)-ethanoic acid
24,24-difluoro-1alpha,25-dihydroxy-24a-homovitamin D3
2beta,3a,7a,12a-Tetrahydroxy-5beta-cholestan-26-oic acid
3a,7a,12a,22-Tetrahydroxy-5beta-cholestan-26-oic acid
3a,7a,12a,24-Tetrahydroxy-5a-cholestan-26-oic acid
3a,7a,12a,23-Tetrahydroxy-5beta-cholestan-26-oic acid
1beta,3a,7a,12a-Tetrahydroxy-5beta-cholestan-26-oic acid
3a,6a,7a,12a-Tetrahydroxy-5beta-cholestan-26-oic acid
3a,7a,12a,25-Tetrahydroxy-5beta-cholestan-26-oic acid
3alpha,7alpha,22S-trihydroxy-5alpha-cholestan-26-oic acid
3alpha,7alpha,12alpha,26-tetrahydroxy-5alpha-cholestan-27-oic acid
(25R)-1beta,3alpha,7alpha,12alpha-tetrahydroxy-5beta-cholestan-26-oic acid
(25S)-2beta,3alpha,7alpha,12alpha-tetrahydroxy-5beta-cholestan-26-oic acid
3alpha,7alpha,12alpha,22S-tetrahydroxy-5beta-cholestan-26-oic acid
(25S)-3alpha,7alpha,12alpha,24R-tetrahydroxy-5beta-cholestan-26-oic acid
(25R)-3alpha,7alpha,12alpha,24R-tetrahydroxy-5beta-cholestan-26-oic acid
(25S)-3alpha,7alpha,12alpha,24S-tetrahydroxy-5beta-cholestan-26-oic acid
(25R)-3alpha,7alpha,12alpha,24S-tetrahydroxy-5beta-cholestan-26-oic acid
3alpha,7alpha,12alpha,26-Tetrahydroxy-5beta-cholestan-27-oic acid
3alpha,7alpha,15alpha,22S-Tetrahydroxy-5beta-cholestan-26-oic acid
3alpha,7alpha,16alpha,22S-Tetrahydroxy-5beta-cholestan-26-oic acid
3alpha,7alpha,16alpha,24R-Tetrahydroxy-5beta-cholestan-26-oic acid
3alpha,7alpha,12alpha,16alpha-Tetrahydroxy-5beta-cholestan-26-oic acid
2beta,3alpha,7alpha,12alpha-Tetrahydroxy-5beta-cholestan-26-oic acid
3alpha,7alpha,12alpha,22-Tetrahydroxy-5beta-cholestan-26-oic acid
3alpha,7alpha,12alpha,24-Tetrahydroxy-5alpha-cholestan-26-oic acid
3alpha,7alpha,12alpha,23-Tetrahydroxy-5beta-cholestan-26-oic acid
1beta,3alpha,7alpha,12alpha-Tetrahydroxy-5beta-cholestan-26-oic acid
Varanic acid
3alpha,6alpha,7alpha,12alpha-Tetrahydroxy-5beta-cholestan-26-oic acid
3alpha,7alpha,12alpha,25-Tetrahydroxy-5beta-cholestan-26-oic acid
15-oxo-18Z-tetracosenoic acid
3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoate
3alpha,7alpha,12alpha,24(S)-tetrahydroxy-5beta-cholestan-27-al
3Alpha,7Alpha,12Alpha-trihydroxy-5Beta-cholestan-26-oic acid
3alpha,7alpha,12alpha,25-Tetrahydroxy-5beta-cholestane-24-one
(25R)-3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-oic acid
(25R)-3alpha,7alpha,12alpha-trihydroxy-5alpha-cholestan-26-oic acid
(25S)-3alpha,7alpha,12alpha-trihydroxy-5alpha-cholestan-26-oic acid
(25R)-3alpha,7alpha,24-trihydroxy-5alpha-cholestan-26-oic acid
3alpha,7alpha,24-trihydroxy-5alpha-cholestan-26-oic acid
(25R)-1beta,3alpha,7alpha-trihydroxy-5beta-cholestan-26-oic acid
3alpha,7beta,12alpha-Trihydroxy-5beta-cholestan-26-oic acid
3alpha,12alpha,22S-Trihydroxy-5beta-cholestan-26-oic acid
3alpha,12alpha,24R-Trihydroxy-5beta-cholestan-26-oic acid
3alpha,7alpha,15alpha-Trihydroxy-5beta-cholestan-26-oic acid
3alpha,7alpha,16alpha-Trihydroxy-5beta-cholestan-26-oic acid
3beta,7alpha,12alpha-Trihydroxy-5alpha-cholestan-26-oic acid
3alpha,12alpha,22-Trihydroxy-5beta-cholestan-26-oic acid
3alpha,7alpha,24-Trihydroxy-5beta-cholestan-26-oic acid
3beta,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-oic acid
3alpha,7alpha,12alpha-Trihydroxy-5alpha-cholestan-26-oic acid
5-Cholestene-3beta,7alpha,12alpha,24,25-pentol
5-Cholestene-3beta,7alpha,12alpha,25,26-pentol
(25S)-3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-oic acid
3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestan-26-al
3Alpha,7Alpha,12Alpha-trihydroxy-5Beta-cholestan-26-oic acid
3beta,7a,12a-Trihydroxy-5a-cholestan-26-oic acid
3a,12a,22-Trihydroxy-5beta-cholestan-26-oic acid
3a,7a,24-Trihydroxy-5beta-cholestan-26-oic acid
3beta,7a,12a-Trihydroxy-5beta-cholestan-26-oic acid
3a,7a,12a-Trihydroxy-5a-cholestan-26-oic acid
5-Cholestene-3beta,7a,12a,24,25-pentol
5-Cholestene-3beta,7a,12a,25,26-pentol
1alpha,25-dihydroxy-19-norvitamin D3
1,25-dihydroxy-2-nor-1,2-secovitamin D3
2-Nor-1,3-seco-1alpha,25-dihydroxyvitamin D3
Dihomolithocholic acid
5beta-Cholestane-2beta,3a,7a,12a,26,27-hexol
5a-Cholestane-3a,7a,12a,25,26,27-hexol
5beta-Cholestane-3a,7a,12a,25,26,27-hexol
5beta-Cholestane-3a,7a,12a,24,25,26-hexol
5beta-Cholestane-3a,7a,12a,24,26,27-hexol
5beta-scymnol
(25S)-5alpha-cholestan-3beta,6alpha,8,15beta,16beta,26-hexol
Arapaimol-B
5alpha-Dermophol
5beta-Dermophol
5beta-Cholestane-3alpha,7alpha,12alpha,24,25,26-hexol
5beta-Cholestane-3alpha,7alpha,12alpha,24,26,27-hexol
Herbasterol
(25S)-5alpha-cholestan-3beta,6alpha,8beta,15alpha,16beat,26-hexol
2-hydroxy-15Z-tetracosenoic acid
3-oxo-tetracosanoic acid
24-hydroxy-10Z-tetracosenoic acid
Hydroxynervonic acid
2R-hydroxy-15Z-tetracosenoic acid
27-Norcholestanehexol
MG(20:0/0:0/0:0)[rac]
1-O-(2R-methoxy-4Z-nonadecenyl)-sn-glycerol
1-O-(2R-hydroxy-4Z-eicosenyl)-sn-glycerol
MG(0:0/i-20:0/0:0)
MG(i-20:0/0:0/0:0)
MG(0:0/20:0/0:0)
MG(20:0/0:0/0:0)
DG(18:0e/2:0/0:0)
Polyporusterone F
Dolichosterone
Stoloniferone F
3alpha,7alpha,12alpha-Trihydroxy-24-methyl-5beta-cholest-23-en-26-oic acid
3a,7a,12a-Trihydroxy-24-methyl-5beta-cholest-23-en-26-oic acid
Nb-Stearoyltryptamine
N-stearoyl arginine
Smilagenin
7a,12a-Dihydroxycholest-4-en-3-one
Pseudotigogenin
7a,27-dihydroxycholestenone
25,26-Hydroxyvitamin D3
3a-Hydroxy-5beta-cholest-24-en-26-oic acid
Pseudosarsasapogenin
Pseudosmilagenin
3beta-Hydroxy-5-cholestenoate
(5E)-1alpha,25-dihydroxyvitamin D3
1beta,25-dihydroxyvitamin D3
1beta,25-dihydroxy-3-epivitamin D3
18,25-dihydroxyvitamin D3
(22R)-22,25-dihydroxyvitamin D3
(22S)-22,25-dihydroxyvitamin D3
(23R)-23,25-dihydroxyvitamin D3
(23S)-23,25-dihydroxyvitamin D3
(24R)-24,25-dihydroxyvitamin D3
(24S)-24,25-dihydroxyvitamin D3
(25R)-25,26-dihydroxyvitamin D3
(25S)-25,26-dihydroxyvitamin D3
3beta,27-dihydroxy-5-cholesten-7-one
3beta,6alpha-dihydroxy-5alpha-cholesta-9(11)-en-23-one
Tigogenin
1alpha,25-dihydroxy-2-methylene-19-norvitamin D3
1alpha,25-dihydroxy-2-methylene-19-nor-20-epivitamin D3
7-OOH-5,8-dien-3beta-ol
EnP(5,8)
7alpha,24S-dihydroxycholest-4-en-3-one
(25S)-cholestenoic acid
(25S)-dafachronic acid
Dormatinone
5alpha,6alpha-24S,25-diepoxy-cholesterol
2,22,25-trideoxyecdysone
1alpha,25-Dihydroxy-previtamin D3
3beta,23S,25-dihydroxyvitamin D3
Cholestenoic acid
5,6alpha-epoxy-cholest-7-en-3beta,9alpha-diol
5,6alpha-epoxy-cholest-8(14)-en-3beta,7alpha-diol
5,6alpha-epoxy-cholest-8(14)-en-3beta,7beta-diol
DHCEO
7alpha,12alpha-Dihydroxycholest-4-en-3-one
20S-Hydroxycholestane-3,16-dione
3alpha-Hydroxy-5beta-cholest-24-en-26-oic acid
(6R)-6,19-epidioxy-6,19-dihydrovitamin D3
(6S)-6,19-epidioxy-6,19-dihydrovitamin D3
(7E)-(3S,6R)-6-hydroperoxy-9,10-seco-4,7,10(19)-cholestatrien-3-ol
(7E)-(3S,6S)-6-hydroperoxy-9,10-seco-4,7,10(19)-cholestatrien-3-ol
1alpha,18-dihydroxyvitamin D3
(24R)-1alpha,24-dihydroxyvitamin D3
7alpha,26-dihydroxycholest-4-en-3-one
(24S)-1alpha,24-dihydroxyvitamin D3
1alpha,25-dihydroxy-3-epivitamin D3
1alpha,25-dihydroxy-14-epivitamin D3
1alpha,25-dihydroxy-14-epiprevitamin D3
1alpha,25-dihydroxy-20-epivitamin D3
7alpha,24-dihydroxycholest-4-en-3-one
Sarsasapogenenin
(25R)-3beta,4beta-dihydroxycholest-5-en-26-al
(25R)-7alpha,26-dihydroxycholest-4-en-3-one
(24R)-24,25-Dihydroxycalciol
(25R)-5beta-spirostan-3beta-ol
25,26-dihydroxyvitamin D
Neotigogenin
7a,12a-Dihydroxy-cholestene-3-one
Octadecyl cis-p-coumarate
24R,25-Dihydroxyvitamin D3
7 alpha,24-Dihydroxy-4-cholesten-3-one
Secalciferol
7 alpha,26-Dihydroxy-4-cholesten-3-one
7alpha,25-dihydroxycholestenone
23S,25-dihydroxyvitamin D3
3 beta-Hydroxy-5-cholestenoate
1alpha,25-dihydroxyvitamin D3
24,25-Dihydroxyvitamin D
paricalcitol
24,24-difluoro-1alpha,25-dihydroxy-26,27-dimethylvitamin D3
24-Epibrassinolide
24-epi-brassinolide
3a,7a,12a,24-tetrahydroxy-24-methyl-5beta-cholestan-26-oic acid
26-Hydroxycastasterone
3alpha,7alpha,12alpha,24-tetrahydroxy-24-methyl-5beta-cholestan-26-oic acid
Agavegenin A
Brassinolide
3a,6a,7a,12a-Tetrahydroxy-5beta-cholest-24-en-26-oic acid
3-Epiecdysone
Alliogenin
3alpha,7alpha,12alpha,26-Tetrahydroxy-5beta-23E-cholestan-27-oic acid
22-iso-ecdysone
Neoallilogenin
Convallagenin  B
ponasterone A
Ecdysone
3alpha,6alpha,7alpha,12alpha-Tetrahydroxy-5beta-cholest-24-en-26-oic acid
Kerdlan
(24R)-1alpha,24-dihydroxy-22-oxavitamin D3
(24R)-1alpha,24-dihydroxy-22-oxa-20-epivitamin D3
(24S)-1alpha,24-dihydroxy-22-oxavitamin D3
(24S)-1alpha,24-dihydroxy-22-oxa-20-epivitamin D3
1alpha,25-dihydroxy-22-oxavitamin D3
1alpha,25-dihydroxy-22-oxa-20-epivitamin D3
1beta,25-dihydroxy-22-oxavitamin D3
